rank,place,state,population,latitude,longitude,name,desc,color,source,precision
238,Inglewood,California,"109,673",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
239,Columbia,Missouri,"108,500",38.3679657,-92.4778824,Missouri,Missouri,,Bing Maps,state/province
240,Waterbury,Connecticut,"110,366",41.5735016,-72.7383041,Connecticut,Connecticut,,Bing Maps,state/province
241,Manchester,New Hampshire,"109,565",43.6843224,-71.5737991,New Hampshire,New Hampshire,,Bing Maps,state/province
242,Miami Gardens,Florida,"107,167",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
243,Elgin,Illinois,"108,188",40.1228409,-89.143219,Illinois,Illinois,,Bing Maps,state/province
244,Wilmington,North Carolina,"106,476",35.5147514,-79.1010361,North Carolina,North Carolina,,Bing Maps,state/province
245,Westminster,Colorado,"106,114",39.0010986,-105.55159,Colorado,Colorado,,Bing Maps,state/province
246,Rochester,Minnesota,"106,769",46.3505173,-94.1978073,Minnesota,Minnesota,,Bing Maps,state/province
247,Clearwater,Florida,"107,685",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
248,Lowell,Massachusetts,"106,519",42.125515,-71.4986191,Massachusetts,Massachusetts,,Bing Maps,state/province
249,Pueblo,Colorado,"106,595",39.0010986,-105.55159,Colorado,Colorado,,Bing Maps,state/province
250,Arvada,Colorado,"106,433",39.0010986,-105.55159,Colorado,Colorado,,Bing Maps,state/province
251,San Buenaventura (Ventura),California,"106,433",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
252,Gresham,Oregon,"105,594",43.9452972,-120.5995255,Oregon,Oregon,,Bing Maps,state/province
253,Fargo,North Dakota,"105,549",47.4462814,-100.4693985,North Dakota,North Dakota,,Bing Maps,state/province
254,Carlsbad,California,"105,328",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
255,West Covina,California,"106,098",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
256,Norwalk,California,"105,549",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
257,Fairfield,California,"105,321",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
258,Cambridge,Massachusetts,"105,162",42.125515,-71.4986191,Massachusetts,Massachusetts,,Bing Maps,state/province
259,Murrieta,California,"103,466",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
260,Green Bay,Wisconsin,"104,057",44.6354256,-89.7189026,Wisconsin,Wisconsin,,Bing Maps,state/province
261,High Point,North Carolina,"104,371",35.5147514,-79.1010361,North Carolina,North Carolina,,Bing Maps,state/province
262,West Jordan,Utah,"103,712",39.3304787,-111.6814804,Utah,Utah,,Bing Maps,state/province
263,Billings,Montana,"104,170",47.0334816,-109.6450806,Montana,Montana,,Bing Maps,state/province
264,Richmond,California,"103,701",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
265,Round Rock,Texas,"99,887",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
266,Everett,Washington,"103,019",38.8903694,-77.0319595,Washington,"Washington, DC",,Bing Maps,city/town
267,Burbank,California,"103,340",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
268,Antioch,California,"102,372",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
269,Wichita Falls,Texas,"104,553",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
270,Palm Bay,Florida,"103,190",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
271,Centennial,Colorado,"100,377",39.0010986,-105.55159,Colorado,Colorado,,Bing Maps,state/province
272,Temecula,California,"100,097",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
273,Daly City,California,"101,123",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
274,Odessa,Texas,"99,940",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
275,Erie,Pennsylvania,"101,786",40.8965111,-77.8387527,Pennsylvania,Pennsylvania,,Bing Maps,state/province
276,Richardson,Texas,"99,223",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
277,Pompano Beach,Florida,"99,845",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
278,Flint,Michigan,"102,434",44.8626175,-85.7351379,Michigan,Michigan,,Bing Maps,state/province
279,South Bend,Indiana,"101,168",39.9198036,-86.2817993,Indiana,Indiana,,Bing Maps,state/province
280,West Palm Beach,Florida,"99,919",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
281,El Cajon,California,"99,478",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
282,Davenport,Iowa,"99,685",41.6578217,-91.5265274,Iowa,"Iowa City, IA",,Bing Maps,city/town
283,Rialto,California,"99,171",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
284,Santa Maria,California,"99,553",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
285,Broken Arrow,Oklahoma,"98,850",35.5853882,-97.5121384,Oklahoma,Oklahoma,,Bing Maps,state/province
286,Kenosha,Wisconsin,"99,218",44.6354256,-89.7189026,Wisconsin,Wisconsin,,Bing Maps,state/province
287,North Charleston,South Carolina,"97,471",33.8724251,-80.8531265,South Carolina,South Carolina,,Bing Maps,state/province
288,Las Cruces,New Mexico,"97,618",34.4216003,-106.110939,New Mexico,New Mexico,,Bing Maps,state/province
289,Boulder,Colorado,"97,385",39.0010986,-105.55159,Colorado,Colorado,,Bing Maps,state/province
290,Lewisville,Texas,"95,290",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
291,Lakeland,Florida,"97,422",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
292,Tyler,Texas,"96,900",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
293,San Mateo,California,"97,207",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
294,Lawton,Oklahoma,"96,867",35.5853882,-97.5121384,Oklahoma,Oklahoma,,Bing Maps,state/province
295,Albany,New York,"97,856",40.7820015,-73.8327026,New York,"New York, NY",,Bing Maps,city/town
296,Compton,California,"96,455",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
297,Dearborn,Michigan,"98,153",44.8626175,-85.7351379,Michigan,Michigan,,Bing Maps,state/province
298,Clovis,California,"95,631",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
299,Sandy Springs,Georgia,"93,853",32.637619,-83.4289627,Georgia,Georgia,,Bing Maps,state/province
300,Roanoke,Virginia,"97,032",37.5088043,-78.6515427,Virginia,Virginia,,Bing Maps,state/province
301,Livonia,Michigan,"96,942",44.8626175,-85.7351379,Michigan,Michigan,,Bing Maps,state/province
302,Portsmouth,Virginia,"95,535",37.5088043,-78.6515427,Virginia,Virginia,,Bing Maps,state/province
303,Vista,California,"93,834",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
304,New Bedford,Massachusetts,"95,072",42.125515,-71.4986191,Massachusetts,Massachusetts,,Bing Maps,state/province
305,College Station,Texas,"93,857",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
306,South Gate,California,"94,396",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
307,Greeley,Colorado,"92,889",39.0010986,-105.55159,Colorado,Colorado,,Bing Maps,state/province
308,Mission Viejo,California,"93,305",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
309,San Angelo,Texas,"93,200",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
310,Yuma,Arizona,"93,064",34.2930069,-111.6639786,Arizona,Arizona,,Bing Maps,state/province
311,Brockton,Massachusetts,"93,810",42.125515,-71.4986191,Massachusetts,Massachusetts,,Bing Maps,state/province
312,Davie town,Florida,"91,992",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
313,Hillsboro,Oregon,"91,611",43.9452972,-120.5995255,Oregon,Oregon,,Bing Maps,state/province
314,Pearland,Texas,"91,252",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
315,Vacaville,California,"92,428",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
316,Quincy,Massachusetts,"92,271",42.125515,-71.4986191,Massachusetts,Massachusetts,,Bing Maps,state/province
317,Renton,Washington,"90,927",38.8903694,-77.0319595,Washington,"Washington, DC",,Bing Maps,city/town
318,Yakima,Washington,"91,067",38.8903694,-77.0319595,Washington,"Washington, DC",,Bing Maps,city/town
319,Carson,California,"91,714",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
320,Macon,Georgia,"91,351",32.637619,-83.4289627,Georgia,Georgia,,Bing Maps,state/province
321,Lee's Summit,Missouri,"91,364",38.3679657,-92.4778824,Missouri,Missouri,,Bing Maps,state/province
322,Beaverton,Oregon,"89,803",43.9452972,-120.5995255,Oregon,Oregon,,Bing Maps,state/province
323,Tuscaloosa,Alabama,"90,468",32.7487068,-86.8505707,Alabama,Alabama,,Bing Maps,state/province
324,Hesperia,California,"90,173",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
325,Sparks,Nevada,"90,264",39.358387,-116.6546555,Nevada,Nevada,,Bing Maps,state/province
326,Roswell,Georgia,"88,346",32.637619,-83.4289627,Georgia,Georgia,,Bing Maps,state/province
327,Federal Way,Washington,"89,306",38.8903694,-77.0319595,Washington,"Washington, DC",,Bing Maps,city/town
328,Westminster,California,"89,701",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
329,Lynn,Massachusetts,"90,329",42.125515,-71.4986191,Massachusetts,Massachusetts,,Bing Maps,state/province
330,Orem,Utah,"88,328",39.3304787,-111.6814804,Utah,Utah,,Bing Maps,state/province
331,Santa Monica,California,"89,736",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
332,Spokane Valley,Washington,"89,755",38.8903694,-77.0319595,Washington,"Washington, DC",,Bing Maps,city/town
333,Redding,California,"89,861",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
334,Miami Beach,Florida,"87,779",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
335,Waukegan,Illinois,"89,078",40.1228409,-89.143219,Illinois,Illinois,,Bing Maps,state/province
336,Rio Rancho,New Mexico,"87,521",34.4216003,-106.110939,New Mexico,New Mexico,,Bing Maps,state/province
337,Sandy,Utah,"87,461",39.3304787,-111.6814804,Utah,Utah,,Bing Maps,state/province
338,Santa Barbara,California,"88,410",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
339,Fall River,Massachusetts,"88,857",42.125515,-71.4986191,Massachusetts,Massachusetts,,Bing Maps,state/province
340,Lawrence,Kansas,"87,643",38.484726,-98.3801727,Kansas,Kansas,,Bing Maps,state/province
341,Reading,Pennsylvania,"88,082",40.8965111,-77.8387527,Pennsylvania,Pennsylvania,,Bing Maps,state/province
342,Longmont,Colorado,"86,270",39.0010986,-105.55159,Colorado,Colorado,,Bing Maps,state/province
343,Allen,Texas,"84,246",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
344,Fort Smith,Arkansas,"86,209",34.9066925,-92.4387436,Arkansas,Arkansas,,Bing Maps,state/province
345,Nashua,New Hampshire,"86,494",43.6843224,-71.5737991,New Hampshire,New Hampshire,,Bing Maps,state/province
346,Plantation,Florida,"84,955",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
347,Newport Beach,California,"85,186",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
348,Norwalk,Connecticut,"85,603",41.5735016,-72.7383041,Connecticut,Connecticut,,Bing Maps,state/province
349,Chico,California,"86,187",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
350,Duluth,Minnesota,"86,265",46.3505173,-94.1978073,Minnesota,Minnesota,,Bing Maps,state/province
351,San Leandro,California,"84,950",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
352,Greenville,North Carolina,"84,554",35.5147514,-79.1010361,North Carolina,North Carolina,,Bing Maps,state/province
353,Sunrise,Florida,"84,439",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
354,Newton,Massachusetts,"85,146",42.125515,-71.4986191,Massachusetts,Massachusetts,,Bing Maps,state/province
355,Whittier,California,"85,331",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
356,Boca Raton,Florida,"84,392",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
357,Deltona,Florida,"85,182",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
358,San Marcos,California,"83,781",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
359,Suffolk,Virginia,"84,585",37.5088043,-78.6515427,Virginia,Virginia,,Bing Maps,state/province
360,Hawthorne,California,"84,293",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
361,Trenton,New Jersey,"84,913",40.0851631,-74.649498,New Jersey,New Jersey,,Bing Maps,state/province
362,League City,Texas,"83,560",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
363,Asheville,North Carolina,"83,393",35.5147514,-79.1010361,North Carolina,North Carolina,,Bing Maps,state/province
364,Citrus Heights,California,"83,301",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
365,Clifton,New Jersey,"84,136",40.0851631,-74.649498,New Jersey,New Jersey,,Bing Maps,state/province
366,Tracy,California,"82,922",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
367,Cicero town,Illinois,"83,891",40.1228409,-89.143219,Illinois,Illinois,,Bing Maps,state/province
368,Bloomington,Minnesota,"82,893",46.3505173,-94.1978073,Minnesota,Minnesota,,Bing Maps,state/province
369,Ogden,Utah,"82,825",39.3304787,-111.6814804,Utah,Utah,,Bing Maps,state/province
370,Alhambra,California,"83,089",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
371,Westland,Michigan,"84,094",44.8626175,-85.7351379,Michigan,Michigan,,Bing Maps,state/province
372,Sioux City,Iowa,"82,684",41.6578217,-91.5265274,Iowa,"Iowa City, IA",,Bing Maps,city/town
373,Edmond,Oklahoma,"81,405",35.5853882,-97.5121384,Oklahoma,Oklahoma,,Bing Maps,state/province
374,Nampa,Idaho,"81,557",44.3890343,-114.6594162,Idaho,Idaho,,Bing Maps,state/province
375,Warwick,Rhode Island,"82,672",41.4887123,-71.4543228,Rhode Island,Rhode Island,,Bing Maps,state/province
376,Livermore,California,"80,968",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
377,Hoover,Alabama,"81,619",32.7487068,-86.8505707,Alabama,Alabama,,Bing Maps,state/province
378,Bellingham,Washington,"80,885",38.8903694,-77.0319595,Washington,"Washington, DC",,Bing Maps,city/town
379,Buena Park,California,"80,530",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
380,Sugar Land,Texas,"78,817",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
381,Danbury,Connecticut,"80,893",41.5735016,-72.7383041,Connecticut,Connecticut,,Bing Maps,state/province
382,Carmel,Indiana,"79,191",39.9198036,-86.2817993,Indiana,Indiana,,Bing Maps,state/province
383,Troy,Michigan,"80,980",44.8626175,-85.7351379,Michigan,Michigan,,Bing Maps,state/province
384,Bloomington,Indiana,"80,405",39.9198036,-86.2817993,Indiana,Indiana,,Bing Maps,state/province
385,Longview,Texas,"80,455",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
386,Champaign,Illinois,"81,055",40.1228409,-89.143219,Illinois,Illinois,,Bing Maps,state/province
387,Parma,Ohio,"81,601",40.410656,-82.7089386,Ohio,Ohio,,Bing Maps,state/province
388,Hammond,Indiana,"80,830",39.9198036,-86.2817993,Indiana,Indiana,,Bing Maps,state/province
389,Lakewood,California,"80,048",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
390,Concord,North Carolina,"79,066",35.5147514,-79.1010361,North Carolina,North Carolina,,Bing Maps,state/province
391,O'Fallon,Missouri,"79,329",38.3679657,-92.4778824,Missouri,Missouri,,Bing Maps,state/province
392,Hemet,California,"78,657",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
393,Cranston,Rhode Island,"80,387",41.4887123,-71.4543228,Rhode Island,Rhode Island,,Bing Maps,state/province
394,Farmington Hills,Michigan,"79,740",44.8626175,-85.7351379,Michigan,Michigan,,Bing Maps,state/province
395,Merced,California,"78,958",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
396,Gary,Indiana,"80,294",39.9198036,-86.2817993,Indiana,Indiana,,Bing Maps,state/province
397,Mission,Texas,"77,058",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
398,Menifee,California,"77,519",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
399,Johns Creek,Georgia,"76,728",32.637619,-83.4289627,Georgia,Georgia,,Bing Maps,state/province
400,Edinburg,Texas,"77,100",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
401,Fishers town,Indiana,"76,794",39.9198036,-86.2817993,Indiana,Indiana,,Bing Maps,state/province
402,Chino,California,"77,983",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
403,Racine,Wisconsin,"78,860",44.6354256,-89.7189026,Wisconsin,Wisconsin,,Bing Maps,state/province
404,Lake Forest,California,"77,264",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
405,Bend,Oregon,"76,639",43.9452972,-120.5995255,Oregon,Oregon,,Bing Maps,state/province
406,Napa,California,"76,915",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
407,Indio,California,"76,036",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
408,Redwood City,California,"76,815",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
409,Largo,Florida,"77,648",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
410,Albany,Georgia,"77,434",32.637619,-83.4289627,Georgia,Georgia,,Bing Maps,state/province
411,New Rochelle,New York,"77,062",40.7820015,-73.8327026,New York,"New York, NY",,Bing Maps,city/town
412,Avondale,Arizona,"76,238",34.2930069,-111.6639786,Arizona,Arizona,,Bing Maps,state/province
413,Bryan,Texas,"76,201",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
414,Camden,New Jersey,"77,344",40.0851631,-74.649498,New Jersey,New Jersey,,Bing Maps,state/province
415,St. Joseph,Missouri,"76,780",38.3679657,-92.4778824,Missouri,Missouri,,Bing Maps,state/province
416,Bellflower,California,"76,616",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
417,Bloomington,Illinois,"76,610",40.1228409,-89.143219,Illinois,Illinois,,Bing Maps,state/province
418,Lawrence,Massachusetts,"76,377",42.125515,-71.4986191,Massachusetts,Massachusetts,,Bing Maps,state/province
419,Brooklyn Park,Minnesota,"75,781",46.3505173,-94.1978073,Minnesota,Minnesota,,Bing Maps,state/province
420,Meridian,Idaho,"75,092",44.3890343,-114.6594162,Idaho,Idaho,,Bing Maps,state/province
421,Tustin,California,"75,540",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
422,Somerville,Massachusetts,"75,754",42.125515,-71.4986191,Massachusetts,Massachusetts,,Bing Maps,state/province
423,Lynchburg,Virginia,"75,568",37.5088043,-78.6515427,Virginia,Virginia,,Bing Maps,state/province
424,Palm Coast,Florida,"75,180",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
425,Deerfield Beach,Florida,"75,018",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
426,Kennewick,Washington,"73,917",38.8903694,-77.0319595,Washington,"Washington, DC",,Bing Maps,city/town
427,Decatur,Illinois,"76,122",40.1228409,-89.143219,Illinois,Illinois,,Bing Maps,state/province
428,Melbourne,Florida,"76,068",28.4401894,-82.5044403,Florida,Florida,,Bing Maps,state/province
429,Scranton,Pennsylvania,"76,089",40.8965111,-77.8387527,Pennsylvania,Pennsylvania,,Bing Maps,state/province
430,Baldwin Park,California,"75,390",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
431,Chino Hills,California,"74,799",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
432,Medford,Oregon,"74,907",43.9452972,-120.5995255,Oregon,Oregon,,Bing Maps,state/province
433,Arlington Heights village,Illinois,"75,101",40.1228409,-89.143219,Illinois,Illinois,,Bing Maps,state/province
434,Bethlehem,Pennsylvania,"74,982",40.8965111,-77.8387527,Pennsylvania,Pennsylvania,,Bing Maps,state/province
435,Mountain View,California,"74,066",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
436,Fayetteville,Arkansas,"73,580",34.9066925,-92.4387436,Arkansas,Arkansas,,Bing Maps,state/province
437,Upland,California,"73,732",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
438,Evanston,Illinois,"74,486",40.1228409,-89.143219,Illinois,Illinois,,Bing Maps,state/province
439,Alameda,California,"73,812",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
440,St. George,Utah,"72,897",39.3304787,-111.6814804,Utah,Utah,,Bing Maps,state/province
441,Kalamazoo,Michigan,"74,262",44.8626175,-85.7351379,Michigan,Michigan,,Bing Maps,state/province
442,Schaumburg village,Illinois,"74,227",40.1228409,-89.143219,Illinois,Illinois,,Bing Maps,state/province
443,Bolingbrook village,Illinois,"73,366",40.1228409,-89.143219,Illinois,Illinois,,Bing Maps,state/province
444,San Ramon,California,"72,148",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
445,Baytown,Texas,"71,802",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
446,New Britain,Connecticut,"73,206",41.5735016,-72.7383041,Connecticut,Connecticut,,Bing Maps,state/province
447,Appleton,Wisconsin,"72,623",44.6354256,-89.7189026,Wisconsin,Wisconsin,,Bing Maps,state/province
448,Folsom,California,"72,203",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
449,Canton,Ohio,"73,007",40.410656,-82.7089386,Ohio,Ohio,,Bing Maps,state/province
450,Wyoming,Michigan,"72,125",44.8626175,-85.7351379,Michigan,Michigan,,Bing Maps,state/province
451,Pharr,Texas,"70,400",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
452,Lake Charles,Louisiana,"71,993",30.9075546,-91.8198318,Louisiana,Louisiana,,Bing Maps,state/province
453,Southfield,Michigan,"71,739",44.8626175,-85.7351379,Michigan,Michigan,,Bing Maps,state/province
454,Gastonia,North Carolina,"71,741",35.5147514,-79.1010361,North Carolina,North Carolina,,Bing Maps,state/province
455,Plymouth,Minnesota,"70,576",46.3505173,-94.1978073,Minnesota,Minnesota,,Bing Maps,state/province
456,Auburn,Washington,"70,180",38.8903694,-77.0319595,Washington,"Washington, DC",,Bing Maps,city/town
457,Rochester Hills,Michigan,"70,995",44.8626175,-85.7351379,Michigan,Michigan,,Bing Maps,state/province
458,Springdale,Arkansas,"69,797",34.9066925,-92.4387436,Arkansas,Arkansas,,Bing Maps,state/province
459,Wilmington,Delaware,"70,851",38.9843407,-75.4430084,Delaware,Delaware,,Bing Maps,state/province
460,Pleasanton,California,"70,285",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
461,Pawtucket,Rhode Island,"71,148",41.4887123,-71.4543228,Rhode Island,Rhode Island,,Bing Maps,state/province
462,Waukesha,Wisconsin,"70,718",44.6354256,-89.7189026,Wisconsin,Wisconsin,,Bing Maps,state/province
463,Jacksonville,North Carolina,"70,145",35.5147514,-79.1010361,North Carolina,North Carolina,,Bing Maps,state/province
464,Union City,California,"69,516",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
465,Lynwood,California,"69,772",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
466,Apple Valley town,California,"69,135",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
467,Muncie,Indiana,"70,085",39.9198036,-86.2817993,Indiana,Indiana,,Bing Maps,state/province
468,Perris,California,"68,386",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
469,Passaic,New Jersey,"69,781",40.0851631,-74.649498,New Jersey,New Jersey,,Bing Maps,state/province
470,Missouri City,Texas,"67,358",29.7604504,-95.3697815,Texas,"Houston, TX",,Bing Maps,city/town
471,Redlands,California,"68,747",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
472,Mount Pleasant town,South Carolina,"67,843",33.8724251,-80.8531265,South Carolina,South Carolina,,Bing Maps,state/province
473,Gulfport,Mississippi,"67,793",32.7113609,-89.6544571,Mississippi,Mississippi,,Bing Maps,state/province
474,Rapid City,South Dakota,"67,956",44.4361343,-100.2305298,South Dakota,South Dakota,,Bing Maps,state/province
475,Turlock,California,"68,549",37.1519241,-119.6460419,California,California,,Bing Maps,state/province
